state_norm,district_norm,age_0_5,age_5_17,age_18_greater
andaman and nicobar islands,nicobar,33,5,0
andaman and nicobar islands,north and middle andaman,48,1,0
andaman and nicobar islands,south andaman,52,4,0
andaman nicobar islands,andamans,13,2,0
andaman nicobar islands,nicobars,1,0,0
andaman nicobar islands,south andaman,14,0,0
andhra pradesh,adilabad,473,105,0
andhra pradesh,alluri sitharama raju,299,45,14
andhra pradesh,anakapalli,141,1,1
andhra pradesh,anantapur,1270,114,0
andhra pradesh,ananthapur,482,46,0
andhra pradesh,ananthapuramu,830,39,5
andhra pradesh,annamayya,264,10,42
andhra pradesh,bapatla,121,13,6
andhra pradesh,chittoor,2270,217,11
andhra pradesh,cuddapah,1702,144,1
andhra pradesh,dr b r ambedkar konaseema,190,10,8
andhra pradesh,east godavari,2274,158,5
andhra pradesh,eluru,184,15,5
andhra pradesh,guntur,2478,310,9
andhra pradesh,hyderabad,1201,347,0
andhra pradesh,k v rangareddy,25,4,0
andhra pradesh,kakinada,251,30,12
andhra pradesh,karim nagar,25,3,0
andhra pradesh,karimnagar,210,48,0
andhra pradesh,khammam,329,125,0
andhra pradesh,krishna,1996,200,14
andhra pradesh,kurnool,3335,313,8
andhra pradesh,mahabub nagar,406,158,0
andhra pradesh,mahabubnagar,2,0,0
andhra pradesh,mahbubnagar,193,67,0
andhra pradesh,medak,426,79,0
andhra pradesh,n t r,230,35,17
andhra pradesh,nalgonda,346,96,0
andhra pradesh,nandyal,261,13,3
andhra pradesh,nellore,1476,268,1
andhra pradesh,nizamabad,150,31,0
andhra pradesh,palnadu,204,33,10
andhra pradesh,parvathipuram manyam,143,13,1
andhra pradesh,prakasam,2185,539,51
andhra pradesh,rangareddi,492,145,0
andhra pradesh,spsr nellore,1124,669,274
andhra pradesh,sri potti sriramulu nellore,228,219,125
andhra pradesh,sri sathya sai,235,11,3
andhra pradesh,srikakulam,1383,43,4
andhra pradesh,tirupati,219,174,65
andhra pradesh,visakhapatanam,186,28,12
andhra pradesh,visakhapatnam,2217,162,8
andhra pradesh,vizianagaram,1141,51,1
andhra pradesh,warangal,327,80,0
andhra pradesh,west godavari,1723,98,4
andhra pradesh,y s r,236,24,12
arunachal pradesh,anjaw,14,3,0
arunachal pradesh,changlang,286,126,3
arunachal pradesh,dibang valley,2,1,0
arunachal pradesh,east kameng,36,27,1
arunachal pradesh,east siang,32,26,0
arunachal pradesh,kamle,2,15,0
arunachal pradesh,kra daadi,6,14,0
arunachal pradesh,kurung kumey,10,15,0
arunachal pradesh,leparada,0,1,0
arunachal pradesh,lohit,23,23,0
arunachal pradesh,longding,81,532,37
arunachal pradesh,lower dibang valley,12,19,0
arunachal pradesh,lower siang,8,9,0
arunachal pradesh,lower subansiri,24,22,0
arunachal pradesh,namsai,27,22,0
arunachal pradesh,papum pare,76,78,0
arunachal pradesh,shi yomi,6,10,0
arunachal pradesh,siang,10,12,0
arunachal pradesh,tawang,30,10,0
arunachal pradesh,tirap,20,15,0
arunachal pradesh,upper siang,9,8,0
arunachal pradesh,upper subansiri,25,19,2
arunachal pradesh,west kameng,83,61,12
arunachal pradesh,west siang,46,36,0
assam,bajali,7,3,2
assam,baksa,1084,787,275
assam,barpeta,6739,2142,478
assam,biswanath,356,261,36
assam,bongaigaon,1217,340,116
assam,cachar,7963,3171,1091
assam,charaideo,310,164,174
assam,chirang,1406,739,232
assam,darrang,2096,940,893
assam,dhemaji,2815,1319,847
assam,dhubri,4452,2033,140
assam,dibrugarh,2886,1174,1194
assam,dima hasao,116,87,24
assam,goalpara,4622,1592,661
assam,golaghat,4505,3342,1590
assam,hailakandi,2073,819,157
assam,hojai,3694,990,134
assam,jorhat,1575,738,651
assam,kamrup,6306,2375,737
assam,kamrup metro,1368,1268,626
assam,karbi anglong,1860,3179,757
assam,karimganj,5214,2976,575
assam,kokrajhar,1453,997,285
assam,lakhimpur,2695,1206,481
assam,majuli,245,100,11
assam,marigaon,4184,2038,450
assam,nagaon,4853,1988,241
assam,nalbari,1254,458,145
assam,north cachar hills,277,284,112
assam,sibsagar,813,269,453
assam,sivasagar,204,113,105
assam,sonitpur,2645,1505,294
assam,south salmara mankachar,487,209,32
assam,sribhumi,31,15,0
assam,tamulpur district,3,15,0
assam,tinsukia,2352,1891,1063
assam,udalguri,1369,776,495
assam,west karbi anglong,347,893,410
bihar,araria,3396,2317,66
bihar,arwal,317,1456,23
bihar,aurangabad,888,2498,6
bihar,aurangabad bh,15,19,0
bihar,banka,2265,2191,51
bihar,begusarai,2418,1733,26
bihar,bhabua,5,9,0
bihar,bhagalpur,5859,6556,301
bihar,bhojpur,995,3393,34
bihar,buxar,555,1331,14
bihar,darbhanga,3297,2060,26
bihar,east champaran,5314,9838,496
bihar,gaya,3346,11410,262
bihar,gopalganj,2910,5484,144
bihar,jamui,2775,2689,84
bihar,jehanabad,313,1514,74
bihar,kaimur bhabua,1559,2773,61
bihar,katihar,3825,2139,73
bihar,khagaria,1139,1265,29
bihar,kishanganj,1958,577,9
bihar,lakhisarai,1464,2153,46
bihar,madhepura,1319,1425,9
bihar,madhubani,5687,6829,552
bihar,monghyr,10,7,0
bihar,munger,1110,1832,73
bihar,muzaffarpur,8257,8666,418
bihar,nalanda,1597,5264,92
bihar,nawada,1291,6077,168
bihar,pashchim champaran,5006,10622,549
bihar,patna,3095,9037,505
bihar,purba champaran,19,24,0
bihar,purbi champaran,3988,9950,787
bihar,purnea,52,42,0
bihar,purnia,4418,3699,133
bihar,rohtas,805,1662,9
bihar,saharsa,2844,3203,126
bihar,samastipur,3586,2790,46
bihar,samstipur,13,16,0
bihar,saran,2704,6799,125
bihar,sheikhpura,379,592,10
bihar,sheikpura,5,4,0
bihar,sheohar,552,360,6
bihar,sitamarhi,14577,14195,2301
bihar,siwan,2302,3776,74
bihar,supaul,1552,1395,51
bihar,vaishali,2551,3350,15
bihar,west champaran,6867,10403,472
chandigarh,chandigarh,794,77,18
chandigarh,rupnagar,1,0,0
chhattisgarh,balod,502,27,1
chhattisgarh,baloda bazar,1688,202,20
chhattisgarh,balrampur,2458,925,67
chhattisgarh,bastar,642,485,4
chhattisgarh,bemetara,784,106,3
chhattisgarh,bijapur,1977,1147,905
chhattisgarh,bilaspur,3398,703,13
chhattisgarh,dakshin bastar dantewada,175,46,7
chhattisgarh,dantewada,144,63,0
chhattisgarh,dhamtari,609,21,1
chhattisgarh,durg,1620,271,40
chhattisgarh,gariyaband,437,72,0
chhattisgarh,gaurela pendra marwahi,36,5,0
chhattisgarh,gaurella pendra marwahi,623,290,70
chhattisgarh,janjgir champa,1350,208,1
chhattisgarh,jashpur,507,295,0
chhattisgarh,kabeerdham,242,25,3
chhattisgarh,kanker,428,87,1
chhattisgarh,kawardha,640,85,0
chhattisgarh,khairagarh chhuikhadan gandai,53,17,0
chhattisgarh,kondagaon,594,283,1
chhattisgarh,korba,1007,161,3
chhattisgarh,koriya,351,176,1
chhattisgarh,mahasamund,903,172,2
chhattisgarh,manendragarh chirmiri bharatpur,54,36,0
chhattisgarh,mohalla manpur ambagarh chowki,3,1,0
chhattisgarh,mohla manpur ambagarh chouki,49,25,2
chhattisgarh,mungeli,817,122,2
chhattisgarh,narayanpur,117,95,0
chhattisgarh,raigarh,2396,309,24
chhattisgarh,raipur,2256,309,13
chhattisgarh,rajnandgaon,1126,134,2
chhattisgarh,sakti,125,30,2
chhattisgarh,sarangarh bilaigarh,24,8,1
chhattisgarh,sukma,733,430,107
chhattisgarh,surajpur,671,187,3
chhattisgarh,surguja,887,228,1
chhattisgarh,uttar bastar kanker,179,40,0
dadra and haveli,dadra and haveli,230,22,2
dadra and haveli and daman and diu,dadra and haveli,20,7,2
dadra and haveli and daman and diu,daman,12,2,1
dadra and haveli and daman and diu,diu,5,4,2
dadra haveli,dadra haveli,9,2,0
daman and diu,daman,9,5,0
daman and diu,diu,17,1,0
daman diu,daman,2,0,0
daman diu,diu,4,0,0
delhi,central delhi,1668,689,120
delhi,east delhi,4977,1732,183
delhi,najafgarh,10,3,0
delhi,new delhi,837,464,209
delhi,north delhi,1543,785,58
delhi,north east,388,136,1
delhi,north east delhi,5263,2682,45
delhi,north west delhi,5562,1818,222
delhi,shahdara,934,429,53
delhi,south delhi,4393,1469,297
delhi,south east delhi,18,5,0
delhi,south west delhi,3252,1145,244
delhi,west delhi,10093,3452,890
goa,north goa,363,65,33
goa,south goa,241,49,22
gujarat,ahmadabad,3641,2161,240
gujarat,ahmedabad,5057,2505,258
gujarat,amreli,1515,310,151
gujarat,anand,2434,456,297
gujarat,arvalli,997,205,73
gujarat,banas kantha,5484,6470,607
gujarat,banaskantha,4613,3266,1324
gujarat,bharuch,1471,239,64
gujarat,bhavnagar,4485,826,283
gujarat,botad,1700,381,96
gujarat,chhotaudepur,1549,1137,516
gujarat,dahod,2810,2491,1148
gujarat,dang,531,179,162
gujarat,devbhumi dwarka,1069,304,157
gujarat,dohad,4244,6922,629
gujarat,gandhinagar,2124,496,527
gujarat,gir somnath,3061,754,290
gujarat,jamnagar,2364,485,192
gujarat,junagadh,1737,230,69
gujarat,kachchh,2609,1701,320
gujarat,kheda,2397,616,327
gujarat,mahesana,2624,528,178
gujarat,mahisagar,1008,282,85
gujarat,morbi,4286,1578,507
gujarat,narmada,423,32,12
gujarat,navsari,1120,115,75
gujarat,panch mahals,811,436,100
gujarat,panchmahals,2126,537,288
gujarat,patan,4008,1735,569
gujarat,porbandar,1255,246,138
gujarat,rajkot,7532,2758,748
gujarat,sabar kantha,987,1182,157
gujarat,sabarkantha,1408,613,215
gujarat,surat,10712,4260,494
gujarat,surendra nagar,1997,765,161
gujarat,surendranagar,699,578,78
gujarat,tapi,724,77,106
gujarat,the dangs,559,125,63
gujarat,vadodara,3837,1242,389
gujarat,valsad,2711,882,182
haryana,ambala,983,58,14
haryana,bhiwani,942,45,2
haryana,charkhi dadri,284,4,0
haryana,faridabad,8988,2370,273
haryana,fatehabad,630,34,6
haryana,gurgaon,2457,635,81
haryana,gurugram,1804,625,207
haryana,hisar,1643,136,12
haryana,jhajjar,746,32,2
haryana,jind,1114,31,0
haryana,kaithal,1223,41,10
haryana,karnal,1178,64,1
haryana,kurukshetra,712,35,11
haryana,mahendragarh,808,50,1
haryana,mewat,2757,283,15
haryana,nuh,1251,213,42
haryana,palwal,1299,99,2
haryana,panchkula,335,26,1
haryana,panipat,3182,368,30
haryana,rewari,705,64,1
haryana,rohtak,1171,99,54
haryana,sirsa,827,51,0
haryana,sonipat,1624,121,27
haryana,yamuna nagar,895,32,6
haryana,yamunanagar,18,0,0
himachal pradesh,bilaspur,281,5,0
himachal pradesh,chamba,382,10,4
himachal pradesh,hamirpur,340,5,0
himachal pradesh,kangra,1198,23,1
himachal pradesh,kinnaur,39,9,2
himachal pradesh,kullu,315,51,51
himachal pradesh,lahul and spiti,9,0,0
himachal pradesh,lahul spiti,14,0,0
himachal pradesh,mandi,695,12,3
himachal pradesh,shimla,394,32,4
himachal pradesh,sirmaur,471,13,3
himachal pradesh,solan,349,24,0
himachal pradesh,una,367,8,0
jammu and kashmir,anantnag,792,95,24
jammu and kashmir,badgam,477,63,0
jammu and kashmir,bandipore,413,99,20
jammu and kashmir,baramula,915,202,53
jammu and kashmir,budgam,211,13,6
jammu and kashmir,doda,828,481,24
jammu and kashmir,ganderbal,250,17,1
jammu and kashmir,jammu,962,266,16
jammu and kashmir,kargil,98,37,0
jammu and kashmir,kathua,610,78,1
jammu and kashmir,kishtwar,222,44,1
jammu and kashmir,kulgam,227,74,5
jammu and kashmir,kupwara,703,164,32
jammu and kashmir,leh,49,8,1
jammu and kashmir,pulwama,501,35,1
jammu and kashmir,punch,586,208,14
jammu and kashmir,rajouri,526,174,0
jammu and kashmir,ramban,223,155,4
jammu and kashmir,reasi,252,160,1
jammu and kashmir,samba,139,12,2
jammu and kashmir,shopian,308,84,20
jammu and kashmir,shupiyan,109,31,0
jammu and kashmir,srinagar,819,80,73
jammu and kashmir,udhampur,533,79,4
jammu kashmir,anantnag,0,1,0
jammu kashmir,baramula,13,2,0
jammu kashmir,doda,2,0,0
jammu kashmir,jammu,16,5,0
jammu kashmir,kargil,1,0,0
jammu kashmir,rajauri,0,1,0
jammu kashmir,srinagar,0,1,0
jharkhand,bokaro,1166,842,6
jharkhand,chatra,1624,1116,26
jharkhand,deoghar,1646,1518,25
jharkhand,dhanbad,2743,1932,55
jharkhand,dumka,1082,1356,59
jharkhand,east singhbhum,1736,842,41
jharkhand,east singhbum,848,546,53
jharkhand,garhwa,1712,626,6
jharkhand,giridih,3303,3207,60
jharkhand,godda,1171,866,13
jharkhand,gumla,1721,1190,39
jharkhand,hazaribag,115,75,0
jharkhand,hazaribagh,1356,715,15
jharkhand,jamtara,954,428,6
jharkhand,khunti,641,638,35
jharkhand,kodarma,51,45,0
jharkhand,koderma,688,394,2
jharkhand,latehar,540,376,1
jharkhand,lohardaga,766,512,40
jharkhand,pakaur,94,47,0
jharkhand,pakur,2911,2428,42
jharkhand,palamau,101,21,0
jharkhand,palamu,2537,702,29
jharkhand,pashchimi singhbhum,124,97,1
jharkhand,purbi singhbhum,263,64,0
jharkhand,ramgarh,600,330,7
jharkhand,ranchi,4512,2556,251
jharkhand,sahebganj,1311,1043,7
jharkhand,sahibganj,62,64,0
jharkhand,seraikela kharsawan,890,440,3
jharkhand,simdega,522,197,13
jharkhand,west singhbhum,1397,1100,26
karnataka,bagalkot,1878,357,35
karnataka,ballari,813,93,29
karnataka,bangalore,1638,383,0
karnataka,bangalore rural,757,99,68
karnataka,belagavi,2272,244,55
karnataka,belgaum,1903,319,0
karnataka,bellary,1186,236,1
karnataka,bengaluru,11819,3988,2666
karnataka,bengaluru rural,1438,729,621
karnataka,bengaluru south,2,82,1
karnataka,bengaluru urban,11865,7055,3670
karnataka,bidar,1347,402,34
karnataka,bijapur,1156,368,2
karnataka,chamarajanagar,68,8,0
karnataka,chamrajanagar,558,86,10
karnataka,chamrajnagar,90,13,0
karnataka,chickmagalur,290,33,0
karnataka,chikkaballapur,833,92,5
karnataka,chikkamagaluru,281,32,10
karnataka,chikmagalur,33,5,0
karnataka,chitradurga,913,96,16
karnataka,dakshina kannada,1456,183,19
karnataka,davanagere,126,12,0
karnataka,davangere,1095,103,26
karnataka,dharwad,1478,124,3
karnataka,gadag,1689,154,11
karnataka,gulbarga,1109,241,1
karnataka,hasan,283,14,0
karnataka,hassan,698,52,7
karnataka,haveri,1214,111,28
karnataka,kalaburagi,1652,238,68
karnataka,kodagu,224,20,27
karnataka,kolar,1169,112,9
karnataka,koppal,1339,257,16
karnataka,mandya,922,47,12
karnataka,mysore,727,74,1
karnataka,mysuru,1628,308,170
karnataka,raichur,2244,768,42
karnataka,ramanagar,793,216,11
karnataka,ramanagara,168,24,12
karnataka,shimoga,614,52,0
karnataka,shivamogga,560,81,21
karnataka,tumakuru,757,53,17
karnataka,tumkur,789,56,0
karnataka,udupi,1162,73,11
karnataka,uttara kannada,961,78,4
karnataka,vijayanagara,564,88,23
karnataka,vijayapura,1944,393,34
karnataka,yadgir,2088,554,73
kerala,alappuzha,685,257,49
kerala,ernakulam,1241,667,125
kerala,idukki,406,66,12
kerala,kannur,1207,630,60
kerala,kasaragod,753,247,4
kerala,kasargod,67,18,0
kerala,kollam,1114,303,57
kerala,kottayam,615,220,13
kerala,kozhikode,1332,612,13
kerala,malappuram,2855,1425,88
kerala,palakkad,1331,414,45
kerala,pathanamthitta,367,135,20
kerala,thiruvananthapuram,1392,466,89
kerala,thrissur,1303,486,48
kerala,wayanad,369,66,6
ladakh,kargil,107,29,0
ladakh,leh,36,3,5
lakshadweep,lakshadweep,62,5,0
madhya pradesh,agar malwa,667,155,3
madhya pradesh,alirajpur,1648,2260,225
madhya pradesh,anuppur,887,133,2
madhya pradesh,ashok nagar,1889,674,111
madhya pradesh,ashoknagar,1594,1323,94
madhya pradesh,balaghat,2268,213,11
madhya pradesh,barwani,9078,6869,561
madhya pradesh,betul,2667,543,88
madhya pradesh,bhind,5558,3375,530
madhya pradesh,bhopal,4958,756,79
madhya pradesh,burhanpur,4821,2340,347
madhya pradesh,chhatarpur,5481,3926,249
madhya pradesh,chhindwara,2491,219,10
madhya pradesh,damoh,1707,336,3
madhya pradesh,datia,1936,1030,34
madhya pradesh,dewas,3720,1040,47
madhya pradesh,dhar,3706,1940,213
madhya pradesh,dindori,597,91,0
madhya pradesh,east nimar,832,657,17
madhya pradesh,guna,3458,1167,44
madhya pradesh,gwalior,7182,3982,561
madhya pradesh,harda,684,185,7
madhya pradesh,hoshangabad,1820,330,12
madhya pradesh,indore,8203,2995,228
madhya pradesh,jabalpur,3616,618,34
madhya pradesh,jhabua,3503,4381,184
madhya pradesh,katni,3304,999,62
madhya pradesh,khandwa,1604,663,44
madhya pradesh,khargone,5713,3274,406
madhya pradesh,maihar,86,8,7
madhya pradesh,mandla,1189,91,2
madhya pradesh,mandsaur,2599,281,7
madhya pradesh,mauganj,103,21,1
madhya pradesh,morena,8608,5503,466
madhya pradesh,narmadapuram,196,36,8
madhya pradesh,narsimhapur,322,90,0
madhya pradesh,narsinghpur,1426,556,34
madhya pradesh,neemuch,1623,310,9
madhya pradesh,niwari,36,7,0
madhya pradesh,pandhurna,18,0,2
madhya pradesh,panna,2667,969,71
madhya pradesh,raisen,2147,474,53
madhya pradesh,rajgarh,1622,559,3
madhya pradesh,ratlam,2160,543,12
madhya pradesh,rewa,2827,524,4
madhya pradesh,sagar,4698,897,106
madhya pradesh,satna,4153,770,47
madhya pradesh,sehore,2124,771,35
madhya pradesh,seoni,1752,168,3
madhya pradesh,shahdol,1185,256,42
madhya pradesh,shajapur,1956,409,6
madhya pradesh,sheopur,1963,2139,108
madhya pradesh,shivpuri,3291,2654,224
madhya pradesh,sidhi,1680,218,5
